Word	Val_N	Val_M	Val_SD	Ar_N	Ar_M	Ar_SD	Con_N	Con_M	Con_SD	length	Cluster	Freq		Avrg_Cosine
Scheidung	26	2.50	2.86	27	5.85	2.77	27	6.15	3.25	9	2	86409	0.0
Bügeleisen	25	5.40	2.02	23	2.17	2.23	29	9.48	1.98	10	3	10652	0.0
Anker	23	6.22	1.35	18	2.33	2.54	23	8.87	1.87	5	3	48016	0.0
Gehalt	22	7.00	2.83	27	4.48	2.24	24	5.96	3.34	6	4	209159	0.0
Rücktritt	32	3.47	1.65	16	4.63	3.14	30	4.97	3.02	9	2	94383	0.0
Tee	22	7.64	1.53	37	1.81	2.18	27	8.59	2.17	3	3	228012	0.0
Stimmung	17	5.41	1.23	26	6.15	2.59	24	4.17	3.40	8	4	526418	0.0
Sicherung	22	5.68	1.64	19	3.26	2.21	22	6.14	2.73	9	1	230915	0.0
Nektar	25	7.00	2.36	14	4.14	3.16	21	6.62	3.15	6	4	11677	0.0
Weltwunder	28	8.00	2.48	19	5.00	3.13	19	7.84	2.14	10	4	8346	0.0
Mann	22	6.68	2.06	32	5.25	3.02	22	8.59	2.67	4	4	3827627	0.0
Überlegung	24	6.13	2.25	20	3.00	2.68	16	4.00	2.76	10	1	290346	0.0
Hüter	31	5.71	2.24	23	2.74	2.43	25	4.84	3.01	5	1	9128	0.0
Potential	16	6.81	2.40	27	5.04	2.74	28	3.75	3.09	9	4	200764	0.0
Meldung	26	5.19	1.72	32	3.56	2.75	19	4.84	3.76	7	1	377363	0.0
Meister	28	6.79	1.95	20	3.65	2.81	35	5.49	2.82	7	4	387421	0.0
Unterdrückung	32	1.66	2.66	33	6.73	2.73	25	5.04	2.84	13	2	73076	0.0
Widmung	22	7.36	2.26	21	3.57	2.91	21	5.86	2.59	7	4	21789	0.0
Regie	21	5.48	2.20	29	3.48	2.23	24	5.58	2.93	5	1	158557	0.0
Becher	19	5.63	1.50	27	1.11	2.22	19	8.32	2.96	6	3	58566	0.0
Wandel	25	6.12	1.92	16	4.56	2.66	23	4.78	3.07	6	4	252022	0.0
Friedhof	22	3.41	2.68	37	5.08	2.73	22	8.91	2.27	8	2	172708	0.0
Angriff	27	1.96	2.05	19	8.37	1.89	18	6.50	1.92	7	2	601900	0.0
Freizeit	32	8.78	1.62	29	4.97	1.95	18	6.67	2.81	8	4	253668	0.0
Rückschritt	36	2.72	2.36	18	4.28	2.70	20	4.05	2.48	11	2	23194	0.0
Lawine	16	3.13	2.47	19	6.32	2.19	17	9.00	1.66	6	2	17594	0.0
Resignation	24	3.21	2.93	25	4.20	3.29	30	4.23	3.04	11	2	23511	0.0
Bein	29	5.59	1.38	28	2.14	2.90	28	9.57	0.74	4	3	643821	0.0
Schild	17	6.29	1.90	19	1.84	2.03	25	8.00	2.52	6	3	236296	0.0
Kredit	27	3.48	2.42	32	4.81	2.74	27	6.41	3.10	6	2	274443	0.0
Version	30	5.20	1.63	26	1.96	2.07	14	4.36	3.89	7	1	1170430	0.0
Licht	23	7.87	2.26	29	4.66	2.86	22	8.50	2.30	5	4	1198751	0.0
Wand	26	4.73	1.59	28	1.54	2.17	23	9.52	0.90	4	3	606483	0.0
Keramik	25	5.84	1.55	24	1.17	1.58	13	7.08	2.47	7	3	47954	0.0
Ausflug	27	8.37	1.74	28	4.54	2.33	21	7.38	2.29	7	4	271485	0.0
Lücke	26	3.65	1.26	25	3.04	2.51	18	6.17	2.64	5	1	196655	0.0
Skala	29	5.14	1.71	27	2.56	3.20	18	8.22	2.37	5	3	46711	0.0
Bildschirm	24	5.42	1.10	27	2.00	2.18	28	8.14	3.15	10	3	257694	0.0
Tango	32	6.09	2.72	25	5.08	3.13	21	8.62	2.16	5	3	6665	0.0
Flamme	24	5.50	1.93	19	6.47	1.54	28	8.36	2.39	6	4	129719	0.0
Herzlichkeit	24	9.04	1.12	20	5.95	2.16	30	5.67	2.95	12	4	14795	0.0
Befreiung	27	7.81	2.48	30	6.63	3.16	23	4.35	2.89	9	4	131868	0.0
Spaltung	26	3.54	1.90	25	5.88	2.65	17	4.88	2.60	8	2	50382	0.0
Strauch	39	6.33	2.08	18	2.17	2.20	24	8.08	2.32	7	3	57363	0.0
Strich	26	4.62	1.88	17	1.65	2.18	19	8.21	2.04	6	3	146709	0.0
Motto	17	5.65	2.00	34	2.59	2.46	29	4.93	3.20	5	1	505903	0.0
Wohnung	24	7.63	2.32	28	3.25	2.95	14	9.50	0.94	7	3	986116	0.0
Klette	25	3.00	1.71	11	4.09	3.59	22	7.14	2.51	6	2	3539	0.0
Bahn	18	4.50	2.04	24	2.83	2.63	19	7.53	3.13	4	3	436351	0.0
Pute	30	5.57	1.61	34	1.82	2.29	27	8.37	2.84	4	3	10646	0.0
Küken	23	7.09	2.97	23	3.83	2.82	23	9.30	0.93	5	3	32201	0.0
Garantie	26	6.96	1.80	24	2.58	2.19	23	4.57	2.83	8	1	223321	0.0
Aufstellung	27	5.00	1.54	23	2.57	2.56	29	4.97	3.13	11	1	155139	0.0
Leber	43	3.93	2.15	24	2.46	2.08	20	8.75	1.68	5	3	95107	0.0
Thema	22	5.73	1.70	27	2.96	2.50	31	3.48	2.71	5	1	4908389	0.0
