Word	Val_N	Val_M	Val_SD	Ar_N	Ar_M	Ar_SD	Con_N	Con_M	Con_SD	length	Cluster	Freq	W_Context	W_Freq	W_LMI	W_Context	W_Freq	W_LMI	W_Context	W_Freq	W_LMI	W_Context	W_Freq	W_LMI	W_Context	W_Freq	W_LMI	W_Context	W_Freq	W_LMI	W_Context	W_Freq	W_LMI	W_Context	W_Freq	W_LMI	W_Context	W_Freq	W_LMI	W_Context	W_Freq	W_LMI	Avrg_Cosine
Finsternis	38	4.08	2.70	24	6.54	2.45	23	8.04	1.74	10	2	57730	Licht	3067	15746.2871916675	Macht	2139	11350.1309262167	Fürst	1241	8020.94504911398	Herz	1369	5725.50931214756	Reich	615	2786.23943749227	Armee	549	2564.0056816602	Nacht	413	1227.05942544666	Welt	530	1158.71287334242	Herr	436	968.549391076608	Werk	316	834.684249538784	0.9471910870893424
Weltkrieg	29	0.86	1.73	18	7.61	2.64	17	6.35	2.55	9	2	421662	Soldat	849	2164.02833769957	Ausbruch	372	1241.52609196658	Inflation	142	382.620867942018	Zeitalter	166	380.584905106581	Zerstörung	157	310.717615876965	Wohlstand	125	271.916441848009	Revolution	163	254.888978379903	Zaun	119	248.358995533507	Faschismus	86	212.842246520239	Glocke	89	190.061012740711	0.9442294943070223
Nase	31	6.16	1.27	26	2.42	2.77	21	9.95	0.22	4	3	421448	Mund	6135	30036.134405196	Ohr	3710	15309.1469823424	Auge	4363	12033.4752309864	Stirn	975	4254.75345329874	Kinn	752	4045.25229903374	Nase	1198	3820.20992357091	Wange	520	2141.76905069573	Zunge	438	1454.43567740268	Gesicht	499	758.872620780165	Maul	210	684.679267245466	0.9618247689496059
Büro	27	5.19	1.88	22	2.82	2.48	28	8.25	2.15	4	3	446322	Wohnung	2783	8620.18520842505	Ingenieur	1504	6420.53593406587	Geschäft	1143	2971.48131403202	Schreibtisch	673	2646.09269777887	Chef	838	2492.75080721499	Labor	662	2311.72502751275	Leiter	834	2285.42558338855	Arbeit	1624	2114.12415306352	Lager	721	1960.18832211032	Tag	2311	1960.17394955845	0.9373260501554664
Akteur	19	5.26	1.82	27	3.52	2.59	21	6.14	2.08	6	1	238469	Institution	1092	3913.45548713095	Politik	1128	2842.59394634505	Wirtschaft	842	2156.97241788219	Zuschauer	689	1826.71123792341	Zusammenarbeit	787	1764.90518676194	Netzwerk	607	1528.89263551682	Beteiligung	476	1336.26400259355	Bereich	895	1116.23841345558	Kooperation	458	1090.39076130051	Interesse	623	930.243151845145	0.9594044514375403
Dienstleistung	27	4.85	2.28	36	2.56	2.48	23	4.87	2.69	14	1	369399	Produkt	47217	253878.085430823	Ware	20643	121852.401220719	Handel	4931	22612.9014889836	Bereich	5564	14668.5572580307	Angebot	2988	7463.04852940071	Handwerk	1599	6829.70466769472	Qualität	2418	6633.28118914436	Industrie	1787	6532.12312522646	Unternehmen	3016	6321.12272580731	Anspruch	2185	5595.35618895929	0.8616092925969354
Düse	32	4.75	1.83	25	3.12	2.73	12	6.83	2.62	4	3	30941	Nadel	216	1222.35779750412	Kanal	71	236.444659144167	Wasser	122	210.974565709167	Ventil	46	199.07097851843	Leitung	78	198.681449687973	Propeller	32	175.793514085464	Düse	36	175.009579820444	Luft	78	171.174609177911	Reinigung	45	164.295607590937	Druck	71	152.110521764587	0.9328138829967575
Erschießung	25	0.80	1.44	25	7.64	2.51	14	7.43	2.62	11	2	6181	Geisel	59	400.667595344167	Verhaftung	46	288.662449071418	Vergewaltigung	35	201.420262080243	Misshandlung	32	193.941843528028	Student	44	162.763838756632	Befehl	31	130.742183135199	Entführung	19	107.222462545772	Laden	26	90.1529980261138	Soldat	22	67.4832407989113	Tod	26	61.5671482680235	0.933875359302028
Laus	23	2.91	1.70	21	2.71	3.00	20	8.65	2.50	4	3	15112	Pelz	141	1021.09835817618	Larve	68	414.188542509518	Laus	52	347.04120921379	Ei	82	338.205125445824	Raupe	51	311.256930278315	Kind	167	274.527540553664	Schnecke	38	189.269412685042	Bekämpfung	42	184.611852865425	Ratte	33	145.742723401883	Pilz	35	142.316119793326	0.9625327923614544
Helm	26	4.23	1.77	24	2.96	2.56	18	9.17	1.38	4	3	115396	Handschuh	1033	6057.05999053419	Schild	893	4284.67644839326	Rüstung	517	2660.91456631938	Brille	410	1817.64797413376	Jacke	326	1463.41995174952	Kopf	573	1395.52184039455	Helm	270	1158.21119188613	Gurt	200	1038.38824885743	Schwert	264	1008.1942360171	Motorrad	246	887.141520380623	0.9415973175216503
