Word	Val_N	Val_M	Val_SD	Ar_N	Ar_M	Ar_SD	Con_N	Con_M	Con_SD	length	Cluster	Freq	Avrg_Cosine
Revision	29	4.03	1.52	26	3.08	2.31	12	4.67	3.34	8	1	138643	0.13429909062252773
Regal	25	5.80	1.80	26	0.96	1.40	27	8.70	2.54	5	3	128542	0.14423200369673356
Anschaffung	23	6.04	2.57	22	3.00	2.43	34	4.68	2.76	11	1	117227	0.21106104460392264
Pult	19	4.11	1.45	14	2.36	2.37	19	8.63	1.71	4	3	17561	0.0986330272183444
Ton	28	6.39	1.79	20	3.05	2.46	23	6.87	3.00	3	3	480467	0.11913890794232163
Behandlung	26	4.46	1.50	21	3.38	2.22	23	4.48	2.73	10	1	805765	0.18948808717423593
Einzelheit	36	5.11	1.85	33	2.91	2.38	27	2.93	3.16	10	1	118912	0.1841562669227979
Ansatz	27	5.15	1.51	21	1.76	2.61	24	3.21	3.11	6	1	593523	0.26223853283135123
Mittag	16	6.44	1.55	27	2.81	2.63	20	6.90	2.65	6	3	102012	0.2015118889217958
Schauder	25	3.20	2.50	24	5.71	2.58	18	4.22	2.92	8	2	3111	0.27520023754286055
Rinde	30	5.97	2.47	19	1.53	1.22	22	8.82	2.17	5	3	25907	0.21999808391595174
Sauberkeit	35	6.77	2.52	17	3.88	2.42	12	7.58	2.54	10	3	35417	0.14524365072708378
Liege	33	6.64	2.19	25	3.08	3.03	24	8.38	2.81	5	3	205	0.0
Chaos	21	3.33	2.15	22	7.14	2.32	18	6.39	3.24	5	2	187791	0.14688090931301692
Einwirkung	28	4.36	1.22	23	3.78	2.68	20	3.35	2.66	10	1	41317	0.22973594515295964
Revolver	35	3.46	3.18	28	5.54	2.46	18	8.56	3.01	8	2	13896	0.07351697171920038
Regie	21	5.48	2.20	29	3.48	2.23	24	5.58	2.93	5	1	158557	0.26303137064381127
Schlamm	26	4.42	2.35	20	2.65	2.25	26	9.31	0.93	7	3	42273	0.2517168108222322
Sonate	22	6.36	2.42	20	3.85	3.00	25	5.52	3.18	6	4	12374	0.12382785481903177
Amateur	26	3.96	1.97	31	3.48	2.45	26	6.12	2.67	7	1	53167	0.10914797093701503
Minimum	16	4.19	1.68	29	1.52	2.18	20	5.05	4.16	7	1	73375	0.04672675069531797
Auszug	22	5.55	2.54	26	3.54	2.89	15	3.93	3.24	6	1	141019	0.19731095279094002
Brut	33	3.64	2.13	25	3.52	2.29	15	6.33	3.02	4	1	33181	0.2134504435199492
Trennung	18	2.06	1.76	21	7.10	2.72	25	6.04	2.76	8	2	257136	0.07789531943911698
Teppich	30	5.67	1.58	21	1.81	1.66	19	8.37	3.25	7	3	125443	0.10656863384449569
Dolch	27	2.74	1.68	30	6.33	2.14	16	9.00	2.16	5	2	25255	0.2142030691665656
Begründung	25	5.24	2.01	18	3.17	2.15	21	4.86	3.48	10	1	352218	0.2416972111438267
Bestattung	33	1.88	2.13	27	5.44	3.23	23	7.83	2.06	10	2	27386	0.24889539925352544
Schluss	31	4.19	2.09	20	5.30	2.96	22	4.77	2.99	7	2	755819	0.10249992016185376
Eigentum	30	6.53	2.52	26	4.08	2.28	22	6.91	2.16	8	4	198322	0.2718247494850271
Gehirn	23	6.04	2.51	22	4.50	2.67	23	8.57	1.80	6	3	295713	0.20333173418874967
Jünger	31	4.52	2.67	27	3.00	2.80	15	6.53	2.92	6	1	84421	0.31461629890519877
Antlitz	18	5.56	2.33	21	3.57	2.58	19	6.16	3.24	7	1	21217	0.3108338271128478
Weltwirtschaft	33	4.85	1.86	31	4.90	2.80	33	4.39	3.09	14	1	33104	0.07269830008836463
Radler	24	5.63	2.32	24	2.96	2.84	19	7.26	2.79	6	3	37843	0.16174584427972993
Konflikt	24	3.38	2.32	30	6.97	2.28	14	5.79	2.86	8	2	448136	0.11442244832882169
Bonbon	26	7.81	1.41	21	3.29	2.49	20	8.65	2.87	6	3	23919	0.1835031574736185
Erforschung	24	7.21	1.38	16	4.88	2.42	26	5.65	2.91	11	4	81298	0.3324688687920257
Rücktritt	32	3.47	1.65	16	4.63	3.14	30	4.97	3.02	9	2	94383	0.10497774899778083
