Word	Val_N	Val_M	Val_SD	Ar_N	Ar_M	Ar_SD	Con_N	Con_M	Con_SD	length	Cluster	Freq	W_Context	W_Pos	W_Freq	W_LMI	W_Context	W_Pos	W_Freq	W_LMI	W_Context	W_Pos	W_Freq	W_LMI	W_Context	W_Pos	W_Freq	W_LMI	W_Context	W_Pos	W_Freq	W_LMI	W_Context	W_Pos	W_Freq	W_LMI	W_Context	W_Pos	W_Freq	W_LMI	W_Context	W_Pos	W_Freq	W_LMI	W_Context	W_Pos	W_Freq	W_LMI	W_Context	W_Pos	W_Freq	W_LMI
Optik	24	6.29	1.88	22	3.05	2.34	21	4.33	2.94	5	1	161316	verbessert	ADJ	287	999.60010348372	Apollo	NE	192	998.861183881123	kompakt	ADJ	54	99.8680551454377	FSV	NN	34	99.4192248925277	verbaut	ADJ	31	99.2867468774371	formschön	ADJ	25	99.0611395513637	lässig	ADJ	37	98.9176056823871	Messtechnik	NN	27	97.8875885597853	fett	ADJ	58	97.7208755591048	fokussierend	ADJ	17	97.6974301624308
Wein	21	7.19	2.89	14	2.93	2.43	20	8.95	2.28	4	3	497454	für	ADJ	125	99.848889400939	Einfuhr	NN	43	99.7113411551479	Qualitätsbezeichnung	NN	17	99.6325115301027	handwerklich	ADJ	74	99.2544120461142	Mostgewicht	NN	23	99.1871653214944	Stahltank	NN	21	99.1098010362413	Fellbacher	ADJ	23	99.0602843577945	gutseigen	ADJ	16	99.0478531397227	Branntwein	NN	179	989.081080966464	reichen	V	779	987.242263075586
Angebot	26	6.27	2.15	23	4.57	2.73	18	4.22	2.29	7	4	1989073	seitens	P	708	999.319516770527	sinnvoll	ADJ	1296	998.806831521658	erstellen	V	4580	9965.31142778021	Qualifizierungsmaßnahme	NN	49	99.8515470385556	variierend	ADJ	48	99.5680628441924	fahrradtouristisch	ADJ	19	99.5460951330319	Kundenauftrag	NN	41	99.4346395054653	Ratenzahlung	NN	54	99.4328316686961	Jugendtreff	NN	51	99.3977303015677	barrierearm	ADJ	30	99.1350222863772
Import	21	4.86	1.31	22	1.82	2.15	25	4.92	3.55	6	1	74728	asiatisch	ADJ	40	99.3304310070453	bei	P	1823	987.319354780963	französisch	ADJ	71	98.2169619236572	Unabhängigkeit	NN	39	96.9041842636524	Erzeugnis	NN	32	96.5608319632109	Abfall	NN	41	96.0838538051253	Abhängigkeit	NN	252	955.894653382209	ausländisch	ADJ	292	951.441912240636	Ware	V	32	95.5705808186985	CDs	NN	38	95.4427960347411
Gehirn	23	6.04	2.51	22	4.50	2.67	23	8.57	1.80	6	3	295713	implantieren	V	189	999.381037754289	zwischen	P	1177	996.379612679589	Schädelknochen	NN	21	99.8319501952163	Gleichgewicht	NN	58	99.1726812026621	Schwung	NN	57	99.1573360034889	Reaktion	NN	436	984.742060141463	Störung	NN	371	981.525344946099	deterministisch	ADJ	26	98.9553151277228	aufweisen	V	78	98.5724847788972	Fliege	NN	36	98.4710728819202
Orgasmus	23	8.48	2.04	21	8.81	1.66	17	8.35	1.93	8	4	31719	nie	ADV	409	989.635347492922	ohne	P	508	982.100172360869	kurz	ADJ	116	97.7483946377631	stimulieren	V	22	97.3970790488112	abspritzen	V	16	97.1602637400682	ausgelöst	ADJ	22	97.0253318300587	Art	NN	89	96.1649392756343	Mann	NN	381	953.17568968482	leicht	ADJ	90	94.8910248055947	Blondine	NN	20	94.0492927098518
Zeug	20	4.60	1.10	22	1.05	1.53	22	3.05	2.19	4	1	253856	blöd	ADJ	375	993.784837907256	heftig	ADJ	103	99.9223251801347	normal	ADJ	231	99.5497343677718	derartig	ADJ	95	99.5066649741165	&quot;	ADJ	459	99.0376417961101	einsprühen	V	25	98.970183355976	getrocknet	ADJ	42	98.3201532102743	haben	ADV	135	98.2889220297602	stauben	V	26	98.0148369068298	sein	V	15820	979.554049299297
Emanzipation	22	6.59	2.11	23	5.39	2.48	21	4.00	3.29	12	4	34345	Aufklärung	NN	224	998.32008398244	sexuell	ADJ	244	997.974546795983	arbeitend	ADJ	31	99.8706129379239	Vorkämpferin	NN	14	99.0561138814294	bürgerlich	ADJ	219	981.307510208082	allmählich	ADJ	34	98.988134425741	Wort	NN	86	98.6122838258596	Mittel	NN	53	97.1289466823938	Individuum	NN	205	969.863538204949	Selbständigkeit	NN	29	96.5845086619478
Anzeige	16	4.38	2.87	16	4.31	2.57	21	6.81	2.91	7	2	272287	Voltmeter	NN	21	99.4992082000736	Gerät	NN	187	99.3383032140844	Unbekannt	NN	1225	9858.77364265791	Blinken	NN	25	98.469178116262	Plakat	NN	61	98.3126235201998	interaktiv	ADJ	63	98.2495803693054	Zuwiderhandlung	NN	30	98.1516139363023	geschaltet	ADJ	189	979.476805974198	polizeilich	ADJ	268	977.473891396772	Schaltung	NN	267	976.519837722408
Dokument	26	5.69	1.89	14	2.86	2.28	27	7.00	3.27	8	3	435714	elektronisch	NN	23	99.2448232445136	Erfassen	NN	33	99.095528584112	unter	P	2515	989.125987897582	einreichen	V	365	989.017065765095	Unterzeichner	NN	35	98.7878277367533	wiedergeben	V	72	98.6540970472343	beigelegt	ADJ	32	98.5812440447657	unterzeichnend	ADJ	24	98.5747404589341	WWW	NN	26	98.5477303373374	ungespeichert	ADJ	16	98.4416263737999
